Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly BioProject Lineage Accession	Assembly BioSample Accession
GCA_913789895.3	Seladonia tumulorum							404423755	Chromosome	2022-02-09	CAJYYF03	14963228	18583095	PRJNA533106	SAMEA7746445
GCA_913789895.3	Seladonia tumulorum							404423755	Chromosome	2022-02-09	CAJYYF03	14963228	18583095	PRJEB43510	SAMEA7746445
GCA_913789895.3	Seladonia tumulorum							404423755	Chromosome	2022-02-09	CAJYYF03	14963228	18583095	PRJNA533106	SAMEA7746445
GCA_913789915.3	Sphecodes monilicornis							496571470	Chromosome	2022-02-09	CAJYYI03	7420798	27521247	PRJEB47131	SAMEA7746755
GCA_913789915.3	Sphecodes monilicornis							496571470	Chromosome	2022-02-09	CAJYYI03	7420798	27521247	PRJEB45672	SAMEA7746755
GCA_913789915.3	Sphecodes monilicornis							496571470	Chromosome	2022-02-09	CAJYYI03	7420798	27521247	PRJEB40665	SAMEA7746755
GCA_913789915.3	Sphecodes monilicornis							496571470	Chromosome	2022-02-09	CAJYYI03	7420798	27521247	PRJNA533106	SAMEA7746755
GCA_913789915.3	Sphecodes monilicornis							496571470	Chromosome	2022-02-09	CAJYYI03	7420798	27521247	PRJEB43510	SAMEA7746755
GCA_913789915.3	Sphecodes monilicornis							496571470	Chromosome	2022-02-09	CAJYYI03	7420798	27521247	PRJNA533106	SAMEA7746755
GCA_943735885.1	Stelis phaeoptera							301062759	Chromosome	2022-06-24	CALSEM01	13395760	14114627	PRJEB53299	SAMEA10978746
GCA_943735885.1	Stelis phaeoptera							301062759	Chromosome	2022-06-24	CALSEM01	13395760	14114627	PRJEB52657	SAMEA10978746
GCA_943735885.1	Stelis phaeoptera							301062759	Chromosome	2022-06-24	CALSEM01	13395760	14114627	PRJEB40665	SAMEA10978746
GCA_943735885.1	Stelis phaeoptera							301062759	Chromosome	2022-06-24	CALSEM01	13395760	14114627	PRJNA533106	SAMEA10978746
GCA_943735885.1	Stelis phaeoptera							301062759	Chromosome	2022-06-24	CALSEM01	13395760	14114627	PRJEB43510	SAMEA10978746
GCA_943735885.1	Stelis phaeoptera							301062759	Chromosome	2022-06-24	CALSEM01	13395760	14114627	PRJNA533106	SAMEA10978746
GCA_943735895.1	Stelis phaeoptera							246175832	Contig	2022-06-10	CALSEN01	269156		PRJEB53298	SAMEA10978746
GCA_943735895.1	Stelis phaeoptera							246175832	Contig	2022-06-10	CALSEN01	269156		PRJEB52657	SAMEA10978746
GCA_943735895.1	Stelis phaeoptera							246175832	Contig	2022-06-10	CALSEN01	269156		PRJEB40665	SAMEA10978746
GCA_943735895.1	Stelis phaeoptera							246175832	Contig	2022-06-10	CALSEN01	269156		PRJNA533106	SAMEA10978746
GCA_943735895.1	Stelis phaeoptera							246175832	Contig	2022-06-10	CALSEN01	269156		PRJEB43510	SAMEA10978746
GCA_943735895.1	Stelis phaeoptera							246175832	Contig	2022-06-10	CALSEN01	269156		PRJNA533106	SAMEA10978746
GCA_010645115.1	Tetragonula carbonaria				newcomen_st_2017			299550189	Contig	2020-02-14	WIUU01	13590		PRJNA578948	SAMN13088838
GCA_010645135.1	Tetragonula clypearis				M-2018-01			294049662	Contig	2020-02-14	WIUT01	14852		PRJNA578946	SAMN13088836
GCA_010645165.1	Tetragonula davenporti				gold-coast			284611473	Contig	2020-02-14	WIUW01	18510		PRJNA578998	SAMN13089823
GCA_010645185.1	Tetragonula hockingsi				newcomen_st_2017			307102115	Contig	2020-02-14	WIUV01	10501		PRJNA578994	SAMN13089661
GCA_011634685.1	Tetragonula mellipes				M-2017-04			337571621	Contig	2020-03-23	WINE01	16398		PRJNA579203	SAMN13106271
GCA_011634955.1	Tetragonula mellipes				M-2017-01			554876457	Contig	2020-03-23	WINF01	3503		PRJNA579239	SAMN13107058
